ID_Estudiante,Alumno,Semana,Fecha Inicio,Fecha Fin,Comunicación,Matemática,Ciencia y Tecnología,Personal Social,Educación Religiosa,Educación Física,Arte,Inglés,Promedio,Clases Asistidas,Clases Totales,Asistencia (%),Progreso Académico (%),Desempeño academico
EST029,Sofía Camila Gutiérrez Salazar,2,4/7/2025,4/11/2025,20,16,17,16,16,16,17,16,16.8,5,5,100,75.6,Bajo
EST030,Sonia Valentina Quispe López,2,4/7/2025,4/11/2025,20,20,20,19,17,17,19,17,18.6,4,5,80,86.9,Alto
EST031,Valeria Alejandra Paredes Flores,2,4/7/2025,4/11/2025,16,17,17,19,16,17,17,18,17.1,5,5,100,73.75,Alto
EST001,Adriana Beatriz León Vargas,3,4/14/2025,4/18/2025,17,18,17,17,16,17,18,16,17.0,5,5,100,70.6,Medio
EST002,Ariana Michelle León Cordero,3,4/14/2025,4/18/2025,17,16,20,17,16,16,16,20,17.3,5,5,100,78.75,Alto
EST003,Andrés Felipe Guerrero Soto,3,4/14/2025,4/18/2025,17,17,17,16,17,19,18,18,17.4,5,5,100,70.6,Bajo
EST004,Camila Estefanía Salazar Vega,3,4/14/2025,4/18/2025,17,16,16,17,17,16,19,17,16.9,5,5,100,66.9,Medio
EST005,Carlos Andrés Herrera Medina,3,4/14/2025,4/18/2025,16,16,17,17,19,20,17,17,17.4,5,5,100,79.4,Alto
EST006,Carmen Rosa Méndez Fuentes,3,4/14/2025,4/18/2025,19,17,17,16,16,17,19,17,17.3,5,5,100,75,Bajo
EST007,Dafne Isabel Castro Díaz,3,4/14/2025,4/18/2025,17,16,17,17,18,17,16,17,16.9,5,5,100,74.4,Bajo
EST008,Daniela Estefanía Vásquez Ruiz,3,4/14/2025,4/18/2025,17,19,20,17,20,17,16,20,18.3,5,5,100,88.75,Alto
EST009,Diana Sofia Campos Díaz,3,4/14/2025,4/18/2025,18,17,20,19,17,20,17,17,18.1,5,5,100,85.6,Alto
EST010,Eduardo Enrique Prado Jiménez,3,4/14/2025,4/18/2025,17,17,20,17,20,16,17,17,17.6,4,5,80,78.75,Medio
EST011,Felipe Augusto Espinoza Torres,3,4/14/2025,4/18/2025,16,17,18,17,16,16,16,16,16.5,5,5,100,69.4,Alto
EST012,Gabriela Isabel Ríos Medina,3,4/14/2025,4/18/2025,16,17,17,16,17,17,20,16,17.0,5,5,100,73.1,Bajo
EST013,Gisela Emilia Contreras Mendizábal,3,4/14/2025,4/18/2025,16,16,19,16,16,17,20,16,17.0,5,5,100,78.75,Bajo
EST014,Hugo Francisco Mendoza Rojas,3,4/14/2025,4/18/2025,17,17,16,19,17,17,17,18,17.3,5,5,100,69.4,Bajo
EST015,Jorge Eduardo Salazar Peña,3,4/14/2025,4/18/2025,20,16,17,17,17,17,17,20,17.6,5,5,100,70,Alto
EST016,José Antonio Díaz Romero,3,4/14/2025,4/18/2025,16,17,16,17,17,16,17,18,16.8,5,5,100,66.9,Bajo
EST017,Juan Carlos Morales Miranda,3,4/14/2025,4/18/2025,17,20,17,16,18,17,17,20,17.8,5,5,100,83.1,Alto
EST018,Laura Valentina Paredes Silva,3,4/14/2025,4/18/2025,17,17,17,17,16,20,17,16,17.1,5,5,100,67.5,Alto
EST019,Luciana Andrea Vásquez Romero,3,4/14/2025,4/18/2025,17,17,17,17,16,19,18,16,17.1,5,5,100,71.25,Bajo
EST020,Luis Alberto García Pérez,3,4/14/2025,4/18/2025,17,20,17,19,17,18,17,17,17.8,5,5,100,75.6,Alto
EST021,Magdalena Alejandra Torres Mendoza,3,4/14/2025,4/18/2025,17,17,18,17,17,19,16,19,17.5,5,5,100,73.75,Bajo
EST022,María Fernanda Gutiérrez Rojas,3,4/14/2025,4/18/2025,17,16,17,16,17,18,16,17,16.8,5,5,100,69.4,Bajo
EST023,Naomi Emilia Cervantes Herrera,3,4/14/2025,4/18/2025,17,17,16,16,20,20,20,18,18.0,5,5,100,78.1,Medio
EST024,Natalia Eugenia Chávez Herrera,3,4/14/2025,4/18/2025,20,16,17,17,17,17,18,19,17.6,5,5,100,77.5,Alto
EST025,Pablo Daniel Cabrera Luna,3,4/14/2025,4/18/2025,17,17,16,16,20,17,20,16,17.4,5,5,100,75.6,Medio
EST026,Paula Renata Gómez Silva,3,4/14/2025,4/18/2025,17,17,16,18,20,20,17,17,17.8,5,5,100,75,Alto
EST027,Renata Alejandra Olivos Díaz,3,4/14/2025,4/18/2025,17,16,16,17,17,16,16,17,16.5,5,5,100,65.6,Bajo
EST028,Ricardo José Navarro Campos,3,4/14/2025,4/18/2025,16,20,20,16,18,17,17,16,17.5,5,5,100,76.9,Alto
EST029,Sofía Camila Gutiérrez Salazar,3,4/14/2025,4/18/2025,17,17,19,17,20,17,16,17,17.5,5,5,100,68.75,Alto
EST030,Sonia Valentina Quispe López,3,4/14/2025,4/18/2025,16,18,17,16,17,17,18,17,17.0,5,5,100,69.4,Bajo
EST031,Valeria Alejandra Paredes Flores,3,4/14/2025,4/18/2025,16,17,17,17,17,17,16,16,16.6,5,5,100,68.75,Bajo
EST001,Adriana Beatriz León Vargas,4,4/21/2025,4/25/2025,17,16,20,17,19,19,17,17,17.8,4,5,80,77.5,Alto
EST002,Ariana Michelle León Cordero,4,4/21/2025,4/25/2025,17,17,17,20,17,16,17,17,17.3,5,5,100,68.1,Medio
EST003,Andrés Felipe Guerrero Soto,4,4/21/2025,4/25/2025,16,17,16,20,19,16,16,18,17.3,5,5,100,82.5,Bajo
EST004,Camila Estefanía Salazar Vega,4,4/21/2025,4/25/2025,17,16,18,17,17,17,19,17,17.3,5,5,100,70.6,Alto
EST005,Carlos Andrés Herrera Medina,4,4/21/2025,4/25/2025,20,20,16,18,19,16,17,17,17.9,5,5,100,85,Alto
EST006,Carmen Rosa Méndez Fuentes,4,4/21/2025,4/25/2025,19,20,17,16,16,17,17,17,16.6,5,5,100,73.75,Bajo
EST007,Dafne Isabel Castro Díaz,4,4/21/2025,4/25/2025,17,20,17,17,17,17,17,16,17.1,5,5,100,65.6,Alto
EST008,Daniela Estefanía Vásquez Ruiz,4,4/21/2025,4/25/2025,18,16,20,16,17,17,17,17,17.3,5,5,100,71.9,Bajo
EST009,Diana Sofia Campos Díaz,4,4/21/2025,4/25/2025,16,18,17,18,17,17,16,17,17.4,5,5,100,69.4,Bajo
EST010,Eduardo Enrique Prado Jiménez,4,4/21/2025,4/25/2025,16,20,20,18,17,18,16,17,17.8,5,5,100,86.25,Alto
EST011,Felipe Augusto Espinoza Torres,4,4/21/2025,4/25/2025,17,17,19,17,16,16,17,17,17.0,5,5,100,70.6,Alto
EST012,Gabriela Isabel Ríos Medina,4,4/21/2025,4/25/2025,16,17,17,18,17,16,18,17,17.1,5,5,100,75,Alto
EST013,Gisela Emilia Contreras Mendizábal,4,4/21/2025,4/25/2025,16,17,16,17,17,18,17,17,17.6,5,5,100,71.9,Alto
EST014,Hugo Francisco Mendoza Rojas,4,4/21/2025,4/25/2025,17,17,16,17,17,17,17,19,17.8,5,5,100,68.75,Alto
EST015,Jorge Eduardo Salazar Peña,4,4/21/2025,4/25/2025,17,17,19,17,18,19,20,18,17.0,5,5,100,80,Bajo
EST016,José Antonio Díaz Romero,4,4/21/2025,4/25/2025,18,16,16,16,17,17,20,17,16.6,5,5,100,73.1,Bajo
EST017,Juan Carlos Morales Miranda,4,4/21/2025,4/25/2025,17,20,16,17,16,17,16,16,17.1,5,5,100,69.4,Bajo
EST018,Laura Valentina Paredes Silva,4,4/21/2025,4/25/2025,20,17,16,17,16,18,20,17,17.3,5,5,100,79.4,Alto
EST019,Luciana Andrea Vásquez Romero,4,4/21/2025,4/25/2025,20,17,17,17,17,17,19,20,17.4,5,5,100,81.9,Alto
EST020,Luis Alberto García Pérez,4,4/21/2025,4/25/2025,17,20,20,19,17,20,20,17,17.8,5,5,100,85.6,Medio
EST021,Magdalena Alejandra Torres Mendoza,4,4/21/2025,4/25/2025,16,17,18,16,17,16,20,16,17.0,5,5,100,77.5,Bajo
EST022,María Fernanda Gutiérrez Rojas,4,4/21/2025,4/25/2025,18,16,17,17,18,17,16,18,17.1,4,5,80,76.25,Alto
EST023,Naomi Emilia Cervantes Herrera,4,4/21/2025,4/25/2025,19,20,17,17,17,17,18,19,17.6,5,5,100,82.5,Bajo
EST024,Natalia Eugenia Chávez Herrera,4,4/21/2025,4/25/2025,17,17,17,18,18,17,16,20,17.8,5,5,100,81.9,Alto
EST025,Pablo Daniel Cabrera Luna,4,4/21/2025,4/25/2025,16,19,17,17,17,16,19,16,17.0,5,5,100,76.9,Bajo
EST026,Paula Renata Gómez Silva,4,4/21/2025,4/25/2025,19,17,16,17,17,17,16,20,16.6,5,5,100,71.25,Bajo
EST027,Renata Alejandra Olivos Díaz,4,4/21/2025,4/25/2025,18,20,18,17,20,20,16,20,17.1,5,5,100,88.1,Alto
EST028,Ricardo José Navarro Campos,4,4/21/2025,4/25/2025,17,17,19,18,17,16,19,17,17.3,5,5,100,75.6,Bajo
EST029,Sofía Camila Gutiérrez Salazar,4,4/21/2025,4/25/2025,20,16,18,16,17,19,16,17,17.4,5,5,100,80,Bajo
EST030,Sonia Valentina Quispe López,4,4/21/2025,4/25/2025,18,16,17,17,16,17,16,17,17.8,5,5,100,66.25,Alto
EST031,Valeria Alejandra Paredes Flores,4,4/21/2025,4/25/2025,17,17,18,19,16,16,17,17,17.0,5,5,100,70,Alto
EST001,Adriana Beatriz León Vargas,5,4/28/2025,5/2/2025,17,17,18,17,17,18,17,19,17.1,5,5,100,75.6,Bajo
EST002,Ariana Michelle León Cordero,5,4/28/2025,5/2/2025,20,16,16,17,16,17,17,17,17.6,5,5,100,71.25,Alto
EST003,Andrés Felipe Guerrero Soto,5,4/28/2025,5/2/2025,16,17,16,20,17,16,20,16,17.8,5,5,100,81.25,Alto
EST004,Camila Estefanía Salazar Vega,5,4/28/2025,5/2/2025,20,17,18,16,17,16,16,17,17.0,5,5,100,81.9,Bajo
EST005,Carlos Andrés Herrera Medina,5,4/28/2025,5/2/2025,17,16,17,17,20,17,17,16,17.1,5,5,100,75,Bajo
EST006,Carmen Rosa Méndez Fuentes,5,4/28/2025,5/2/2025,16,20,17,17,16,17,17,20,17.6,5,5,100,73.75,Alto
EST007,Dafne Isabel Castro Díaz,5,4/28/2025,5/2/2025,20,19,17,17,16,17,17,16,17.5,5,5,100,76.9,Alto
EST008,Daniela Estefanía Vásquez Ruiz,5,4/28/2025,5/2/2025,20,18,17,20,16,16,19,17,17.1,5,5,100,81.25,Bajo
EST009,Diana Sofia Campos Díaz,5,4/28/2025,5/2/2025,17,16,16,20,17,16,17,17,16.9,4,5,80,78.1,Bajo
EST010,Eduardo Enrique Prado Jiménez,5,4/28/2025,5/2/2025,18,16,17,17,17,17,17,17,16.9,5,5,100,68.75,Bajo
EST011,Felipe Augusto Espinoza Torres,5,4/28/2025,5/2/2025,19,18,17,19,17,16,17,17,17.5,5,5,100,75.6,Alto
EST012,Gabriela Isabel Ríos Medina,5,4/28/2025,5/2/2025,17,17,16,17,17,19,18,19,16.8,5,5,100,87.5,Bajo
EST013,Gisela Emilia Contreras Mendizábal,5,4/28/2025,5/2/2025,16,17,17,17,16,17,16,20,17.1,5,5,100,75.6,Bajo
EST014,Hugo Francisco Mendoza Rojas,5,4/28/2025,5/2/2025,19,19,19,19,17,16,17,17,17.9,5,5,100,86.9,Alto
EST015,Jorge Eduardo Salazar Peña,5,4/28/2025,5/2/2025,16,16,17,17,17,17,19,19,16.6,5,5,100,73.1,Bajo
EST016,José Antonio Díaz Romero,5,4/28/2025,5/2/2025,20,16,16,20,18,16,20,17,17.1,5,5,100,83.1,Alto
EST017,Juan Carlos Morales Miranda,5,4/28/2025,5/2/2025,19,17,20,17,17,16,16,17,17.3,5,5,100,71.25,Alto
EST018,Laura Valentina Paredes Silva,5,4/28/2025,5/2/2025,20,19,20,19,17,16,16,16,17.4,5,5,100,85.6,Alto
EST019,Luciana Andrea Vásquez Romero,5,4/28/2025,5/2/2025,19,16,16,16,16,17,17,16,17.8,5,5,100,73.75,Alto
EST020,Luis Alberto García Pérez,5,4/28/2025,5/2/2025,16,17,16,17,17,17,17,17,17.0,5,5,100,65,Bajo
EST021,Magdalena Alejandra Torres Mendoza,5,4/28/2025,5/2/2025,18,16,19,20,17,16,17,16,17.1,5,5,100,79.4,Alto
EST022,María Fernanda Gutiérrez Rojas,5,4/28/2025,5/2/2025,17,20,19,18,17,20,17,17,17.6,5,5,100,80.6,Alto
EST023,Naomi Emilia Cervantes Herrera,5,4/28/2025,5/2/2025,17,17,16,17,17,17,18,19,17.8,5,5,100,70.6,Alto
EST024,Natalia Eugenia Chávez Herrera,5,4/28/2025,5/2/2025,17,19,16,18,17,16,20,16,17.0,5,5,100,82.5,Bajo
EST025,Pablo Daniel Cabrera Luna,5,4/28/2025,5/2/2025,17,16,17,16,17,17,16,17,17.1,5,5,100,67.5,Alto
EST026,Paula Renata Gómez Silva,5,4/28/2025,5/2/2025,16,17,17,20,17,17,19,17,17.6,5,5,100,70,Alto
EST027,Renata Alejandra Olivos Díaz,5,4/28/2025,5/2/2025,19,20,17,16,17,17,16,17,17.5,5,5,100,71.25,Alto
EST028,Ricardo José Navarro Campos,5,4/28/2025,5/2/2025,17,17,16,16,17,17,16,20,17.1,5,5,100,66.9,Bajo
EST029,Sofía Camila Gutiérrez Salazar,5,4/28/2025,5/2/2025,17,16,17,17,18,16,16,18,16.9,5,5,100,77.5,Bajo
EST030,Sonia Valentina Quispe López,5,4/28/2025,5/2/2025,19,17,16,17,17,16,18,17,16.9,5,5,100,70.6,Bajo
EST031,Valeria Alejandra Paredes Flores,5,4/28/2025,5/2/2025,17,19,20,16,16,16,16,17,17.5,5,5,100,80.6,Alto
EST001,Adriana Beatriz León Vargas,6,5/5/2025,5/9/2025,16,17,17,17,16,17,20,16,16.8,5,5,100,71.25,Bajo
EST002,Ariana Michelle León Cordero,6,5/5/2025,5/9/2025,17,20,17,17,17,17,20,19,17.1,5,5,100,71.9,Bajo
EST003,Andrés Felipe Guerrero Soto,6,5/5/2025,5/9/2025,16,16,17,17,17,17,18,20,17.9,5,5,100,73.1,Alto
EST004,Camila Estefanía Salazar Vega,6,5/5/2025,5/9/2025,16,16,20,18,17,16,17,17,17.1,5,5,100,73.75,Alto
EST005,Carlos Andrés Herrera Medina,6,5/5/2025,5/9/2025,16,16,17,19,17,16,20,20,17.6,4,5,80,78.1,Alto
EST006,Carmen Rosa Méndez Fuentes,6,5/5/2025,5/9/2025,16,17,16,19,19,18,17,18,17.5,5,5,100,80,Bajo
EST007,Dafne Isabel Castro Díaz,6,5/5/2025,5/9/2025,19,17,16,17,17,17,17,17,17.1,5,5,100,64.4,Bajo
EST008,Daniela Estefanía Vásquez Ruiz,6,5/5/2025,5/9/2025,17,17,17,16,17,17,17,17,16.9,5,5,100,63.75,Bajo
EST009,Diana Sofia Campos Díaz,6,5/5/2025,5/9/2025,17,16,16,16,18,17,18,17,16.9,5,5,100,74.4,Medio
EST010,Eduardo Enrique Prado Jiménez,6,5/5/2025,5/9/2025,18,18,18,16,16,17,20,17,17.5,5,5,100,77.5,Alto
EST011,Felipe Augusto Espinoza Torres,6,5/5/2025,5/9/2025,17,16,17,17,17,16,17,17,16.8,5,5,100,71.9,Bajo
EST012,Gabriela Isabel Ríos Medina,6,5/5/2025,5/9/2025,16,17,17,18,20,16,16,17,17.1,5,5,100,75.6,Alto
EST013,Gisela Emilia Contreras Mendizábal,6,5/5/2025,5/9/2025,20,19,17,18,19,16,17,17,17.9,5,5,100,74.4,Alto
EST014,Hugo Francisco Mendoza Rojas,6,5/5/2025,5/9/2025,17,16,17,16,17,17,16,17,16.6,5,5,100,65,Bajo
EST015,Jorge Eduardo Salazar Peña,6,5/5/2025,5/9/2025,16,16,20,18,17,16,16,18,17.1,4,5,80,77.5,Alto
EST016,José Antonio Díaz Romero,6,5/5/2025,5/9/2025,17,17,16,16,19,17,17,19,17.3,5,5,100,77.5,Alto
EST017,Juan Carlos Morales Miranda,6,5/5/2025,5/9/2025,17,19,16,20,17,16,18,16,17.4,5,5,100,77.5,Alto
EST018,Laura Valentina Paredes Silva,6,5/5/2025,5/9/2025,17,17,16,20,16,19,20,17,17.8,5,5,100,83.75,Alto
EST019,Luciana Andrea Vásquez Romero,6,5/5/2025,5/9/2025,16,18,17,16,18,19,16,16,17.0,5,5,100,78.75,Bajo
EST020,Luis Alberto García Pérez,6,5/5/2025,5/9/2025,18,17,17,16,17,16,19,17,17.1,5,5,100,75.6,Alto
EST021,Magdalena Alejandra Torres Mendoza,6,5/5/2025,5/9/2025,20,17,20,17,17,16,18,16,17.6,5,5,100,82.5,Alto
EST022,María Fernanda Gutiérrez Rojas,6,5/5/2025,5/9/2025,20,17,17,17,18,18,16,19,17.8,5,5,100,80,Alto
EST023,Naomi Emilia Cervantes Herrera,6,5/5/2025,5/9/2025,18,17,16,16,17,16,17,19,17.0,5,5,100,71.25,Bajo
EST024,Natalia Eugenia Chávez Herrera,6,5/5/2025,5/9/2025,16,16,17,18,17,20,19,17,17.5,5,5,100,76.9,Alto
EST025,Pablo Daniel Cabrera Luna,6,5/5/2025,5/9/2025,17,17,16,16,17,19,18,16,17.0,5,5,100,72.5,Bajo
EST026,Paula Renata Gómez Silva,6,5/5/2025,5/9/2025,16,16,17,20,17,17,16,16,16.9,4,5,80,74.4,Bajo
EST027,Renata Alejandra Olivos Díaz,6,5/5/2025,5/9/2025,18,18,17,17,16,16,19,17,17.3,5,5,100,73.1,Bajo
EST028,Ricardo José Navarro Campos,6,5/5/2025,5/9/2025,18,17,17,17,18,20,17,20,18.0,5,5,100,76.9,Alto
EST029,Sofía Camila Gutiérrez Salazar,6,5/5/2025,5/9/2025,18,17,18,16,20,16,17,19,17.6,5,5,100,81.25,Alto
EST030,Sonia Valentina Quispe López,6,5/5/2025,5/9/2025,17,17,17,16,17,17,17,16,16.8,5,5,100,70.6,Bajo
EST031,Valeria Alejandra Paredes Flores,6,5/5/2025,5/9/2025,17,16,17,17,17,17,17,18,17.0,4,5,80,68.1,Bajo
EST001,Adriana Beatriz León Vargas,7,5/12/2025,5/16/2025,16,16,17,16,16,16,17,19,16.6,5,5,100,77.5,Bajo
EST002,Ariana Michelle León Cordero,7,5/12/2025,5/16/2025,16,18,16,17,16,17,19,16,16.9,5,5,100,76.9,Bajo
EST003,Andrés Felipe Guerrero Soto,7,5/12/2025,5/16/2025,17,16,17,16,17,19,17,19,17.3,5,5,100,73.1,Bajo
EST004,Camila Estefanía Salazar Vega,7,5/12/2025,5/16/2025,19,16,17,16,16,17,18,17,17.0,5,5,100,78.1,Bajo
EST005,Carlos Andrés Herrera Medina,7,5/12/2025,5/16/2025,16,20,20,16,16,17,17,17,17.4,5,5,100,77.5,Bajo
EST006,Carmen Rosa Méndez Fuentes,7,5/12/2025,5/16/2025,19,19,17,17,17,17,17,17,17.5,5,5,100,78.75,Medio
EST007,Dafne Isabel Castro Díaz,7,5/12/2025,5/16/2025,17,18,18,17,17,17,16,17,17.1,5,5,100,69.4,Medio
